name	id	date_of_birth	place_of_birth	nationality	religion	gender	metaweb_user_s	parents	children	employment_history	signature	spouse_s	sibling_s	weight_kg	height_meters	education	profession	quotations	places_lived	ethnicity	quotationsbook_id	age	tvrage_id	notable_professions	languages
Charles Gyamfi	/m/03d8c1t	1929	Accra	Ghana		Male									1.83				/m/03pmxqz						
Fabián Santana	/m/03d8_8g	1985-07-29	General Rodríguez	Argentina											1.81				/m/03pt51b						
Alfred Jay Moran Jr	/m/03ws3hy					Male																			
Francisco de Rioja	/m/0413fcb	1583				Male																			
John Fullarton	/m/03wdspz	1645																							
Khin Aung Myint	/m/03d88cz					Male											Politician								
Robert P Stiller	/m/03wxwky					Male				/m/03w_5mf															
Georgi Nikolov	/m/04n5zc6	1983-06-05	Sofia	Bulgaria		Male									1.89										
Michael E Morrill	/m/03wxw1c					Male				/m/03x65p9															
Jamie Anderson	/m/0413jt_	1990-09-13	South Lake Tahoe	United States of America		Female											Snowboarder								
Gérard Dionne	/m/04n5xmw	1919-06-19	Saint-Basile, New Brunswick	Canada	Roman Catholicism	Male																			
Stephen Lazarus	/m/03ws34_					Male				/m/03x8bz0,/m/03x8byv															
Takuya Honda	/m/03yf3pv	1985-04-17	Sagamihara	Japan											1.77										
Herman Foster	/m/03xns5f					Male																			
Peter Z Horvath	/m/03wxvvh					Male				/m/03x3w8p															
Saúl Mendoza	/m/03wzkp	1967-01-06				Male																			
Eric Anderson	/m/04dyv3	1915-09-15	Bradford			Male									1.88										
Pedro Zape	/m/04n5wb8	1949-06-03	Colombia	Colombia		Male																			
Tony Bird	/m/03wfcks	1974-09-01	Cardiff	Wales		Male																			
Kaushik Bagchi	/m/03d7yrk																								
Earl W Cole III	/m/03wxvpl					Male				/m/03x6cgv															
Michael J Hannon	/m/03wxvc8					Male				/m/03x7m9r															
Rayner Heppenstall	/m/04h2h9	1911-07-27		England		Male											Novelist								
Dedo I Merseburg	/m/03wdrq3					Male		Dietrich I von Wettin	Marquis Dietrich II of Niederlausitz																
Chris Ayers	/m/03wxv8s					Male				/m/03xdhcx															
John Mumford	/m/03d7g5_	1957		United States of America		Male																			
Renée Faure	/m/04n5qmp	1919-11-04	Paris			Female																			
Pablo Bastianini	/m/047r4s8	1982-11-09	Zárate	Argentina		Male									1.87										
Gregory Hansen	/m/03wxtmy					Male				/m/03x81pv															
Karl Grossman	/m/04ngw4	1863-12-13	Neuruppin	Germany		Male																			
Karen J May	/m/03wxt_d		Lancaster	United States of America		Female				/m/04g689c,/m/04j8kv4,/m/04j8kvj,/m/04j8kvx,/m/04g8b6w,/m/04j8kts,/m/04g8b76						/m/04g8bjk	Businessperson,Certified Public Accountant		/m/04j74l9	Caucasian race					
Herman Koehler	/m/03d7f29	1859-12-14	Wisconsin			Male																			
Juan Lembeye	/m/04h2fw	1816				Male																			
Lyman F. Sheats Jr.	/m/04hf3dp																								
Fuchsia Dunlop	/m/04jf5fs																Chef								
Sten Hagander	/m/03d7d7_	1891-11-22		Sweden		Male																			
Lee Ann Raz	/m/04142kf	1979-10-03		Israel		Female											Singer								
Eric Alterman	/m/03h912r					Male				/m/03h912p															
William Chapple	/m/047r44b	1864-07-14	Alexandra																						
Tamlyn Tomita	/m/04nhnb	1966-01-27	Okinawa Prefecture	United States of America,Japan		Female									1.57	/m/03yw55l	Actor		/m/03pj8k9,/m/03yw55v	Japanese American					
Barbara Reskin	/m/03d77k2		Saint Paul			Female										/m/04hh0sq									
Robert Bilheimer	/m/0414928																								
John Merton	/m/04njyfy	1901-02-18	Washington, D.C.	United States of America		Male			Lane Bradford,Bob LaVarre							/m/04njykx	Actor								
Julie H Edwards	/m/03ws2sh					Female																			
Brenda Carty	/m/04g37hs					Female																			
Jasmine	/m/04g370z																								
Joseph S. Fruton	/m/0414g7g	1912-05-14	Częstochowa	Poland,United States of America		Male										/m/04fsb35									
Robert L Bauman	/m/03wxt3c					Male				/m/03x0vf_,/m/03x0vg5															
Aroti Dutt	/m/0414hf3	1924	Kolkata	India				Satyendra Chandra Mitra																	
Georges Dionne	/m/0414hjm					Male																			
Paul Harrison	/m/03xnr1_																								
Agnès Humbert	/m/04n5pb1	1894-10-12	Dieppe			Female																			
John Lecompte	/m/0414khm	1914-07-28				Male																			
Larry Lacewell	/m/03d73pc	1937-02-12	Fordyce			Male											Coach		/m/03pdw7l						
James G Andress	/m/03wqsj0					Male				/m/04jrkh2,/m/04jrkgq,/m/04g9_fg,/m/04g9_f2,/m/04g9_dy,/m/04j75vf,/m/04j75vp,/m/04j75v4,/m/04jrkgb,/m/04j75w3						/m/04g9_bb,/m/04g9_bk	Businessperson		/m/04g9_ft	Caucasian race					
Keith Arkell	/m/03d7312	1961-01-08	Birmingham			Male													/m/07y4jf3						
Kevin Mcleod	/m/03wxsxh					Male																			
Alexander Wilson	/m/03c2_h7					Male																			
Jean Paul Richard	/m/03wxsrl																								
Steven Markheim	/m/03wtt_6					Male				/m/03xbdzs															
Patrick F Daly	/m/03wxsq0					Male																			
François Louis Thomas Francia	/m/04dxl0	1772		France		Male																			
Boris Berman	/m/03d6x7n	1948-04-03	Moscow	United States of America		Male											Pianist		/m/03ph41x						
M.R. Dhar	/m/04nkl4t																								
Nicolas Lupot	/m/03wdkll	1758	Stuttgart			Male																			
David Leroy Nickens	/m/04ctgzt	1794	Virginia	United States of America		Male														African American					
Ashutosh Roy	/m/03ws2pj									/m/03x63zm,/m/03x63zf															
Frank D'Amelio	/m/04dxf75					Male				/m/04kcbry,/m/04kcbsz,/m/04kcbsq,/m/04kcbtd,/m/04kcbsg,/m/04dxf72,/m/04kcbs5						/m/04dy3yn,/m/04dy3yy									
Henry S. Randall	/m/0414z8h	1811-05-03				Male																			
Henryk Chmielewski	/m/04dxdr	1923-06-07	Warsaw			Male																			
Hans Geyer	/m/03ws2c6					Male																			
James R Grover Jr	/m/03wxr3n					Male																			
Annie Armstrong	/m/0415635	1850-07-11	Baltimore			Female													/m/04hfjxc						
Jean-Pascal Chaigne	/m/041575z	1977		France																					
Zdeňka Veřmiřovská	/m/03d6l3v	1913-06-27	Kopřivnice			Female																			
Giosuè Carducci	/m/03dsx	1835-07-27	Pietrasanta	Italy		Male											Teacher,Poet								
Eva Baeza	/m/04nl2ly					Female																			
Lene Maria Christensen	/m/04nl2xq					Female																			
Demetrios Pieridis	/m/0415943	1811																							
Charles W. Young	/m/03m2hgb					Male				/m/03m2hg8															
Pablo Herrera Barrantes	/m/04n5lw9	1987-02-14	Alajuela	Costa Rica		Male									1.68										
George A Cope	/m/03wxr22					/m/05zppz																			
Youra Guller	/m/03d6hcl	1895	Marseille			Female											Pianist								
Elena Hill	/m/04nl4ct					Female																			
Jack Esch	/m/03xnqjl																								
Yvon Bilodeau	/m/03d6gsv	1951-01-18	Vimy, Alberta	Canada		Male								95.2543977											
Gregory K Bell	/m/03wxr0p					Male				/m/03x7btb															
Crawford Baptie	/m/0415_37	1959-02-24	Glasgow	Scotland		Male																			
Michael Burke	/m/047qyk_	1977-02-25	Jacksonville	United States of America																					
Francis L. Dade	/m/0415b1	1793				Male													/m/03pl1ss						
Tomáš Hubáček	/m/03xp4p5																								
James J. Cline	/m/03d6dxt		Pomona			Male																			
Kim Bo-young	/m/04nl8kw																								
Paul Wiseman	/m/03wxqz5					Male				/m/03w_ms9															
Vivek Paul	/m/03g1h7v																								
Emil Schoenemann	/m/0468c3y	1882-04-18	Berlin	Germany		Male											Cinematographer								
Steven M Chapman	/m/03wxqxs					Male				/m/03x82r5															
Heinrich Julian Schmidt	/m/04nldq	1818-03-07	Kwidzyn	Germany		Male											Journalist								
Julián Bourges	/m/03d6d5d		Buenos Aires	Argentina		Male													/m/04hh1bb						
